datarate 		Distance 		Payload data	 	Nodes  		Net_throughput		Delay		NR
3		45		1472		3		4.46328 		2474.55 		0
3		45		1472		4		2.51053 		1932.79 		1
3		45		1472		5		2.14212 		2856.66 		1
3		45		1472		6		1.85929 		4013.29 		1
3		45		1472		7		1.63909 		4811.27 		1
3		45		1472		8		1.46388 		23258.5 		1
3		45		1472		9		1.32164 		22000.4 		1
3		45		1472		10		1.20408 		7543.27 		1

3		50		1472		2		6.69594 		995.35 		0
3		50		1472		3		2.9757 		1350.97 		1
3		50		1472		4		1.67381 		1441.86 		1
3		50		1472		5		1.60667 		2547.8 		1
3		50		1472		6		1.48749 		2924.45 		1
3		50		1472		7		1.36605 		4335.15 		1
3		50		1472		8		1.12405 		5329.39 		1
3		50		1472		9		0.991437 		5492.82 		1
3		50		1472		10		0.960246 		7565.21 		1

3		55		1472		2		4.60317 		5102.18 		0
3		55		1472		3		2.04551 		2817.81 		1
3		55		1472		4		61.2195 		6064.86 		1
3		55		1472		5		1.07105 		1627.52 		1
3		55		1472		6		1.44027 		5252.04 		1
3		55		1472		7		1.18825 		6777.38 		1
3		55		1472		8		0.855854 		9800.62 		1
3		55		1472		9		0.968807 		8225.64 		1
3		55		1472		10		0.840835 		11701.5 		1

3		60		1472		2		3.34821 		0 		1
3		60		1472		3		1.4881 		0 		1
3		60		1472		4		0.837054 		0 		1
3		60		1472		5		0.535714 		0 		1
3		60		1472		6		0.372024 		0 		1
3		60		1472		7		0.273324 		0 		1
3		60		1472		8		0.209263 		0 		1
3		60		1472		9		0.165344 		0 		1
3		60		1472		10		0.133929 		0 		1

3		65		1472		2		3.34821 		0 		1
3		65		1472		3		1.4881 		0 		1
3		65		1472		4		0.837054 		0 		1
3		65		1472		5		0.535714 		0 		1
3		65		1472		6		0.372024 		0 		1
3		65		1472		7		0.273324 		0 		1
3		65		1472		8		0.209263 		0 		1
3		65		1472		9		0.165344 		0 		1
3		65		1472		10		0.133929 		0 		1

3		70		1472		2		3.34821 		0 		1
3		70		1472		3		1.4881 		0 		1
3		70		1472		4		0.837054 		0 		1
3		70		1472		5		0.535714 		0 		1
3		70		1472		6		0.372024 		0 		1
3		70		1472		7		0.273324 		0 		1
3		70		1472		8		0.209263 		0 		1
3		70		1472		9		0.165344 		0 		1
3		70		1472		10		0.133929 		0 		1

3		75		1472		2		3.34821 		0 		1
3		75		1472		3		1.4881 		0 		1
3		75		1472		4		0.837054 		0 		1
3		75		1472		5		0.535714 		0 		1
3		75		1472		6		0.372024 		0 		1
3		75		1472		7		0.273324 		0 		1
3		75		1472		8		0.209263 		0 		1
3		75		1472		9		0.165344 		0 		1
3		75		1472		10		0.133929 		0 		1

3		80		1472		2		3.34821 		0 		1
3		80		1472		3		1.4881 		0 		1
3		80		1472		4		0.837054 		0 		1
3		80		1472		5		0.535714 		0 		1
3		80		1472		6		0.372024 		0 		1
3		80		1472		7		0.273324 		0 		1
3		80		1472		8		0.209263 		0 		1
3		80		1472		9		0.165344 		0 		1
3		80		1472		10		0.133929 		0 		1

3		85		1472		2		3.34821 		0 		1
3		85		1472		3		1.4881 		0 		1
3		85		1472		4		0.837054 		0 		1
3		85		1472		5		0.535714 		0 		1
3		85		1472		6		0.372024 		0 		1
3		85		1472		7		0.273324 		0 		1
3		85		1472		8		0.209263 		0 		1
3		85		1472		9		0.165344 		0 		1
3		85		1472		10		0.133929 		0 		1

3		90		1472		2		3.34821 		0 		1
3		90		1472		3		1.4881 		0 		1
3		90		1472		4		0.837054 		0 		1
3		90		1472		5		0.535714 		0 		1
3		90		1472		6		0.372024 		0 		1
3		90		1472		7		0.273324 		0 		1
3		90		1472		8		0.209263 		0 		1
3		90		1472		9		0.165344 		0 		1
3		90		1472		10		0.133929 		0 		1

3		95		1472		2		3.34821 		0 		1
3		95		1472		3		1.4881 		0 		1
3		95		1472		4		0.837054 		0 		1
3		95		1472		5		0.535714 		0 		1
3		95		1472		6		0.372024 		0 		1
3		95		1472		7		0.273324 		0 		1
3		95		1472		8		0.209263 		0 		1
3		95		1472		9		0.165344 		0 		1
3		95		1472		10		0.133929 		0 		1

3		100		1472		2		3.34821 		0 		1
3		100		1472		3		1.4881 		0 		1
3		100		1472		4		0.837054 		0 		1
3		100		1472		5		0.535714 		0 		1
3		100		1472		6		0.372024 		0 		1
3		100		1472		7		0.273324 		0 		1
3		100		1472		8		0.209263 		0 		1
3		100		1472		9		0.165344 		0 		1
3		100		1472		10		0.133929 		0 		1

3		20		1000		2		4.58904 		542.443 		0
3		20		1000		3		3.05902 		1447.78 		0
3		20		1000		4		2.29411 		1920.13 		0
3		20		1000		5		1.83524 		2187.07 		0
3		20		1000		6		1.52921 		23483.5 		0
3		20		1000		7		1.31057 		3771.76 		0
3		20		1000		8		1.14675 		4515.9 		0
3		20		1000		9		1.01917 		5084.33 		0
3		20		1000		10		0.91717 		18456.5 		0

3		25		1000		2		4.58904 		865.087 		0
3		25		1000		3		3.05897 		1463.93 		0
3		25		1000		4		2.29411 		2133.92 		0
3		25		1000		5		1.83506 		2665.95 		0
3		25		1000		6		1.52909 		3193.31 		0
3		25		1000		7		1.3105 		3974.92 		0
3		25		1000		8		1.14665 		19905.9 		0
3		25		1000		9		1.01922 		5050.02 		0
3		25		1000		10		0.917197 		18534.4 		0

3		30		1000		2		4.58904 		484.481 		0
3		30		1000		3		3.05902 		1840.29 		0
3		30		1000		4		2.29408 		2462.96 		0
3		30		1000		5		1.83516 		2964.4 		0
3		30		1000		6		1.52918 		3170.52 		0
3		30		1000		7		1.3106 		3762.26 		0
